season,episode,title,aired_date,synopsis,imdb_rating,imdb_vote_count,thumbnail_url,imdb_episode_url,is_holiday
16,3,The Twinnening,"Sun, Oct 19, 2025",Teddy takes a handyman job next door to the restaurant and finds himself trapped inside a store full of spooky antiques.,7.8,317,"https://m.media-amazon.com/images/M/MV5BMmFjY2NlNGItYmUwYi00YThkLTg2MmYtYmZlODU2Yzk0OWE5XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431661/?ref_=ttep_ep_3,FALSE
16,4,The Skids in the Hall,"Sun, Oct 26, 2025",Louise and Gene try to help Tina clear her name after she is fired as a Hall Monitor.,7.6,270,"https://m.media-amazon.com/images/M/MV5BYjY0ZmRlZWUtNTI2Yi00Y2RkLWIyY2UtNGIzYzViNDVhMGZmXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431659/?ref_=ttep_ep_4,FALSE
16,5,The Secret Guardin',"Sun, Nov 2, 2025",The Belcher kids' plan to keep a secret from Linda gets jeopardized by dental surgery making Louise loopy.,7.9,250,"https://m.media-amazon.com/images/M/MV5BYWJiYmQwN2ItNTQ4Yy00MzgyLWI4ZWQtNDcxYjIyY2U1MTJjXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431666/?ref_=ttep_ep_5,FALSE
16,6,Get Her to the Zeke,"Sun, Nov 9, 2025",Tina tries to set up Zeke on a date while the rest of the Belchers contend with a Super Rat.,7.5,236,"https://m.media-amazon.com/images/M/MV5BZDRhYjFmMDktYmYyYi00OWNmLWI5MDYtMWM1ZjMzOTA2ZTczXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431670/?ref_=ttep_ep_6,FALSE
16,7,Tube for Tina,"Sun, Nov 23, 2025","Linda has a strong reaction to Tina buying a tiny tube top; Bob, Teddy, Louise and Gene face the consequences of a rare bird flying into the window of the restaurant.",7.4,217,"https://m.media-amazon.com/images/M/MV5BY2UxZjllNGQtYzcwYi00MjlkLWE4NjgtNzM0MTIwMDQ1OTA0XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431658/?ref_=ttep_ep_7,FALSE
16,8,Les Lizárdables,"Sun, Dec 7, 2025",Gene and Courtney get into a custody battle over an injured lizard.,7.2,197,"https://m.media-amazon.com/images/M/MV5BODNjNTMwNjMtMWIzNS00MTE2LWI3MjAtZjJiNDJkYjQwYzE2XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431665/?ref_=ttep_ep_8,FALSE
16,9,It's a Stunterful Life,"Sun, Dec 14, 2025","The kids get caught up in a stunt competition at a Christmas tree farm, while Bob decorates cookies for Santa and Linda tries to find every tree a home.",7.8,227,"https://m.media-amazon.com/images/M/MV5BY2YyODhlZTMtMjAxZS00MWEwLTg1NDgtMjg0OGY0M2Y2ZjNkXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431669/?ref_=ttep_ep_9,TRUE
16,10,Heist Things Are Heist,"Sun, Dec 28, 2025",Bob faces a setback after winning an award at a prestigious ceremony and the kids partner with possible jewel thief Vincent to set things right.,8.1,208,"https://m.media-amazon.com/images/M/MV5BYThlZWYyOTAtNTQ5My00ZjhkLTlkNDItMmI0NGU3MDE4Yjk2XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt36431662/?ref_=ttep_ep_10,FALSE
16,11,Episode #16.11,NA,NA,NA,NA,"https://m.media-amazon.com/images/M/MV5BZWQ1NGE4YjgtOGJjZS00OTZjLWI0MGUtMDUxYjY2M2E4MjNjXkEyXkFqcGc@._V1_QL75_UX500_CR0,234,500,281_.jpg",https://www.imdb.com/title/tt36431664/?ref_=ttep_ep_11,FALSE
16,12,Episode #16.12,NA,NA,NA,NA,"https://m.media-amazon.com/images/M/MV5BZWQ1NGE4YjgtOGJjZS00OTZjLWI0MGUtMDUxYjY2M2E4MjNjXkEyXkFqcGc@._V1_QL75_UX500_CR0,234,500,281_.jpg",https://www.imdb.com/title/tt36431667/?ref_=ttep_ep_12,FALSE
16,13,Episode #16.13,NA,NA,NA,NA,"https://m.media-amazon.com/images/M/MV5BZWQ1NGE4YjgtOGJjZS00OTZjLWI0MGUtMDUxYjY2M2E4MjNjXkEyXkFqcGc@._V1_QL75_UX500_CR0,234,500,281_.jpg",https://www.imdb.com/title/tt36431663/?ref_=ttep_ep_13,FALSE
16,14,Episode #16.14,NA,NA,NA,NA,"https://m.media-amazon.com/images/M/MV5BZWQ1NGE4YjgtOGJjZS00OTZjLWI0MGUtMDUxYjY2M2E4MjNjXkEyXkFqcGc@._V1_QL75_UX500_CR0,234,500,281_.jpg",https://www.imdb.com/title/tt36431671/?ref_=ttep_ep_14,FALSE
16,15,Episode #16.15,NA,NA,NA,NA,"https://m.media-amazon.com/images/M/MV5BZWQ1NGE4YjgtOGJjZS00OTZjLWI0MGUtMDUxYjY2M2E4MjNjXkEyXkFqcGc@._V1_QL75_UX500_CR0,234,500,281_.jpg",https://www.imdb.com/title/tt36431660/?ref_=ttep_ep_15,FALSE
